 X, Y, W, T
-0.17,-0.05,-0.02,23.32
-0.14,-0.04,0.02,23.39
-0.12,-0.02,0.02,23.45
-0.11,-0.05,-0.01,23.48
-0.12,-0.03,-0.05,23.49
-0.09,-0.02,-0.03,23.41
-0.08,-0.05,-0.04,23.4
-0.1,-0.08,-0.08,23.41
-0.19,0.01,-0.14,23.54
-0.16,0.04,-0.15,23.6
-0.15,-0.07,0.07,23.28
-0.12,-0.04,0.18,23.39
-0.13,-0.02,0.09,23.45
-0.06,-0.08,0.04,23.46
-0.04,-0.07,0.08,23.39
-0.14,-0.05,0.09,23.22
-0.18,-0.04,0.07,23.12
-0.15,-0.05,0.02,23.13
-0.13,-0.03,0.03,23.34
-0.11,-0.08,0,23.28
-0.05,-0.08,0.06,23.29
-0.02,-0.11,0.07,23.38
-0.02,-0.07,0.04,23.44
-0.06,-0.12,-0.01,23.31
-0.12,-0.15,0.03,23.23
-0.22,-0.08,0.08,23.08
-0.2,-0.01,0.06,23.26
-0.12,-0.11,0.06,23.37
-0.13,-0.21,0.12,23.13
-0.07,-0.22,0.13,23.36
-0.03,-0.07,0.06,23.43
-0.19,-0.1,0.12,23.23
-0.16,-0.16,0.09,23.03
-0.17,-0.03,0.17,23.16
-0.14,-0.01,0.11,23.3
-0.09,0,0.07,23.37
-0.12,0.01,0.07,23.49
-0.19,0.04,0.05,23.68
-0.11,0.02,0,23.75
-0.11,0.01,-0.05,23.82
-0.13,0.02,-0.06,23.67
-0.13,0.01,-0.13,23.64
-0.15,-0.05,-0.12,23.55
-0.15,-0.02,-0.02,23.4
-0.09,-0.04,0.02,23.21
-0.09,-0.08,0.02,23.18
-0.05,-0.2,0.12,23.11
-0.14,-0.08,0.01,23.2
-0.07,-0.14,0.04,23.27
-0.12,-0.06,0.05,23.6
-0.2,-0.05,0,23.54
-0.19,-0.08,0.05,23.18
-0.15,-0.12,0.08,23.27
-0.11,-0.04,0.06,23.38
-0.13,-0.01,0.05,23.43
-0.11,-0.04,-0.03,23.33
-0.1,-0.03,0.03,23.39
-0.11,-0.06,0.04,23.48
-0.08,-0.1,-0.08,23.42
-0.15,-0.13,-0.06,23.25
-0.11,-0.1,0.08,23.16
-0.16,-0.07,0.12,23.29
-0.1,0.01,0.07,23.37
-0.03,-0.18,0.17,23.14
-0.1,-0.12,0.18,23.29
-0.2,-0.05,0.09,23.16
-0.12,-0.07,0.05,23.13
-0.08,-0.1,0.02,23.11
-0.11,-0.14,-0.03,23.11
-0.07,-0.13,0,23.15
-0.13,-0.02,-0.05,23.15
-0.08,0.02,-0.02,23.18
-0.11,0.04,0.04,23.47
-0.14,-0.02,0.05,23.53
-0.15,0.02,0.06,23.46
-0.17,0.03,-0.09,23.5
-0.09,-0.13,0.05,23.22
-0.14,-0.06,0.12,23.12
-0.13,0.01,0.14,22.93
-0.09,-0.12,0.02,23.05
-0.21,-0.17,0.17,23.08
-0.12,-0.16,0.12,23.15
-0.11,-0.02,0.08,23.19
-0.15,-0.01,0.01,23.14
-0.14,-0.01,-0.08,23.06
-0.11,0.02,-0.03,23.16
-0.09,-0.07,0.03,23.18
-0.09,-0.14,0.15,23.09
-0.11,-0.02,0.08,23.19
-0.12,-0.08,0.04,23.09
-0.11,-0.02,-0.04,23.13
-0.01,-0.11,0.06,23.13
-0.01,-0.09,0.11,23.22
-0.13,-0.09,0.15,23.24
-0.15,-0.13,0.07,22.92
-0.14,-0.17,0.19,23.05
-0.14,-0.11,0.12,23.09
-0.1,-0.09,0.11,23.09
-0.16,0,0.08,23.08
-0.19,0.02,0.05,23.19
-0.18,-0.14,0.09,23.08
-0.2,-0.06,0.13,23.44
-0.15,-0.06,0.05,23.39
-0.07,-0.09,0.03,23.31
-0.06,-0.13,0.07,23.06
-0.12,-0.13,0.05,22.86
-0.1,-0.08,0.04,22.97
-0.17,-0.03,0.08,23.15
-0.13,-0.06,0.06,23.2
-0.08,-0.08,0.08,23.03
-0.1,-0.08,0.03,23.14
-0.07,-0.14,0.02,23.05
-0.08,-0.14,0.05,23.16
-0.09,-0.16,-0.01,22.99
-0.14,0,0,23.2
-0.17,0.03,0.04,23.17
-0.09,-0.16,0.21,23.02
-0.12,-0.11,0.29,23.24
-0.13,-0.1,0.21,23.02
-0.06,-0.15,0.22,23.05
-0.11,-0.08,0.13,23.05
-0.08,-0.13,-0.02,23.1
-0.15,-0.16,0.12,23.06
-0.16,-0.08,0.13,23.37
-0.14,-0.05,0.09,23.31
-0.18,-0.07,0.1,22.93
-0.2,-0.16,0.16,22.87
-0.26,-0.07,0.14,22.97
-0.17,-0.17,0.09,23
-0.17,-0.09,0.14,23.14
-0.17,-0.08,0.16,23.35
-0.14,-0.07,0.13,23.33
-0.1,-0.01,0.05,23.5
-0.13,0,0.04,23.48
-0.15,-0.03,0,23.39
-0.11,-0.1,0.09,23.15
-0.06,-0.02,0.01,23.2
-0.04,0,-0.01,23.37
-0.02,0.01,0.08,23.47
-0.01,0,0,23.57
-0.02,-0.02,0.03,23.44
-0.14,0.02,-0.05,23.39
-0.05,-0.02,-0.09,23.43
-0.1,0.01,-0.02,23.32
-0.11,-0.01,0.06,23.2
-0.13,-0.13,0.26,23.2
-0.12,-0.12,0.12,23.13
-0.14,-0.16,0.1,22.84
-0.1,-0.12,0.02,22.9
-0.08,-0.14,0,23.02
-0.08,-0.1,0.04,23.11
-0.08,-0.05,0.08,23.12
-0.06,-0.01,0.04,23.26
-0.1,-0.09,0.08,23.53
-0.08,-0.03,0,23.64
-0.09,-0.04,0.01,23.69
-0.14,0,-0.04,23.95
-0.06,-0.03,0,23.82
-0.04,-0.04,0.04,23.68
-0.07,-0.04,-0.01,23.82
-0.05,-0.07,0.03,23.71
-0.14,-0.28,-0.02,24.09
-0.18,0.06,-0.01,24.54
-0.11,-0.02,0.01,24.18
-0.05,-0.11,-0.06,24.29
-0.06,-0.05,-0.1,24.3
-0.08,0,-0.18,23.92
-0.05,0.05,-0.12,23.8
0,0.01,0,23.73
-0.14,0.05,0.1,23.79
-0.08,-0.07,0.19,23.44
-0.15,-0.08,0.11,23.17
-0.18,-0.08,0.09,23.35
-0.13,-0.09,0.05,23.37
-0.09,-0.06,0.05,23.49
-0.01,-0.07,0.03,23.44
-0.08,-0.14,0.2,22.96
-0.04,-0.2,0.25,22.95
0.03,-0.18,0.22,23.11
0.01,0.05,0.15,23.45
0.07,-0.02,0.08,23.5
0.06,-0.1,0.15,23.38
-0.09,-0.07,0.17,23.15
-0.13,0.05,0.06,23.12
-0.1,-0.02,0.02,23.13
-0.11,-0.12,0.09,23.09
-0.13,-0.08,0.19,23.38
0,-0.09,0.16,23.51
-0.03,0,0.14,23.2
-0.02,-0.1,0.03,23.15
-0.1,-0.09,0.02,23.2
-0.2,-0.01,0.04,23.12
-0.18,-0.02,-0.03,23.73
-0.14,0.03,0.07,24.04
-0.08,-0.04,0.03,23.85
-0.16,-0.07,-0.03,23.7
-0.14,-0.16,0.11,23.09
-0.05,-0.13,0.08,23.49
-0.09,-0.05,-0.02,23.79
0,0.07,0.07,23.71
-0.22,0,-0.07,23.64
-0.15,0.09,-0.07,23.73
-0.1,0,-0.14,24.13
-0.04,0.04,-0.12,24.14
-0.02,-0.05,-0.03,23.58
-0.05,-0.14,0.15,23.27
-0.02,-0.05,0.1,23.5
0.01,-0.06,0.03,23.59
-0.12,-0.04,0.02,23.6
-0.02,-0.31,0.06,23.25
-0.03,-0.08,0.19,23.43
-0.02,-0.14,0.28,23.14
-0.09,0,0.15,23.28
-0.14,-0.07,0.19,23.29
-0.15,0.03,0.2,23.14
-0.08,-0.07,0.12,23.46
0.02,-0.17,0.08,23.47
0.01,-0.13,0,23.48
0.01,-0.24,0.08,23.26
0,-0.14,0.12,23.35
0.01,-0.11,0.08,23.3
-0.02,-0.06,0.1,23.44
-0.03,0.1,0.09,23.7
-0.06,0.04,0.05,23.43
-0.06,-0.04,0.12,23.14
-0.14,-0.09,0.18,23.05
-0.11,-0.03,0.17,23.29
-0.13,-0.04,0.04,23.21
-0.03,-0.16,0.02,23.25
-0.06,-0.09,0.24,23.36
-0.04,-0.08,0.18,23.43
-0.02,-0.05,0.13,23.39
0,-0.06,0.05,23.61
-0.06,0.03,-0.02,23.55
-0.03,-0.02,-0.05,23.43
-0.01,-0.01,-0.05,23.3
-0.02,0,-0.01,23.37
-0.01,-0.03,0.02,23.43
-0.01,-0.06,0.01,23.42
-0.05,-0.12,0.11,23.17
-0.04,-0.05,0.18,23.21
-0.08,-0.1,0.08,23.14
-0.11,-0.16,0.18,23.32
-0.07,-0.08,0.19,23.3
-0.08,-0.02,0.04,23.19
-0.08,0.03,0.03,23.24
-0.05,-0.07,-0.01,23.22
-0.03,-0.1,-0.04,23.22
0.01,-0.11,0.01,23.28
0.02,-0.07,0.03,23.27
0,0,0.02,23.29
-0.02,0.02,0.14,23.21
-0.09,0.09,0.04,23.22
-0.04,0.11,0.05,23.31
-0.13,0,0.03,23.28
-0.13,-0.1,0.01,23.11
-0.04,-0.11,0.03,23.12
-0.02,-0.02,0.13,23.17
-0.12,-0.04,0.01,23.15
-0.12,-0.08,0.03,23.37
-0.16,-0.17,0.08,23.42
-0.14,-0.04,0.02,23.66
-0.12,-0.24,0.08,23.71
-0.11,-0.19,0.16,23.72
-0.11,-0.23,0.34,22.95
0.03,-0.25,0.21,23.03
-0.06,-0.2,0.16,23.13
0.02,-0.09,0.03,23.2
0.05,0,0.11,23.26
0.07,0,0.16,23.32
0.1,-0.11,0.21,23.24
0.05,-0.09,0.14,23.24
0,-0.17,0.11,23.06
-0.04,-0.1,0.12,23.09
-0.05,-0.11,0.2,23.16
-0.17,-0.05,0.17,23.23
-0.19,-0.01,0.09,23.18
-0.15,-0.09,0.02,23.07
-0.12,-0.11,-0.06,23.05
-0.1,-0.1,0.19,23.12
-0.09,-0.06,0.21,23.13
-0.11,-0.1,0.22,23.22
-0.1,-0.14,0.1,23.09
0.05,-0.21,0.14,23.11
0.02,-0.1,0.13,23.29
0.02,-0.13,0.1,23.28
0.02,-0.1,0,23.26
0.03,-0.11,0,23.41
0,-0.1,0.01,23.42
-0.02,-0.04,0.03,23.44
-0.06,-0.02,0.11,23.39
-0.08,-0.09,0.14,23.27
-0.13,-0.2,0.16,23.01
-0.12,-0.07,0.2,23.15
-0.14,-0.13,0.15,23.17
-0.14,0.01,0.07,23.24
-0.1,0.02,0.12,23.28
-0.06,0.03,0.08,23.35
-0.06,0.05,0.03,23.41
-0.04,0.07,-0.02,23.4
-0.03,-0.04,-0.05,23.41
-0.04,-0.16,0.18,23.21
-0.1,-0.09,0.27,23.29
-0.12,-0.11,0.24,23
-0.1,0,0.14,23.01
-0.06,-0.15,0.12,23.01
-0.03,-0.07,0.13,23.17
-0.03,-0.03,0.07,23.11
-0.09,0,0.05,23.14
-0.01,-0.12,0.3,23.15
-0.08,-0.22,0.28,22.78
-0.16,-0.2,0.22,23.08
-0.11,-0.15,0.12,22.91
-0.15,0.01,0.14,23.08
-0.11,-0.18,0.26,22.91
-0.13,-0.17,0.2,22.84
-0.08,-0.11,0.1,22.91
-0.14,-0.04,0.06,23
-0.11,-0.01,0.04,23.13
-0.13,-0.07,0.04,23.3
-0.12,-0.03,0.02,23.29
-0.12,-0.04,0.14,23.06
-0.16,0,0.08,23.09
-0.04,-0.05,-0.02,23.16
-0.02,0.01,0,23.22
-0.06,-0.03,0.16,23.28
-0.17,0.01,0.17,23.13
-0.02,-0.1,0.04,23.19
-0.08,-0.14,0.03,23.13
-0.14,-0.1,0.1,23.36
-0.16,-0.06,0.07,23.35
-0.09,0,0.11,23.39
-0.06,-0.03,0.16,23.04
-0.08,-0.09,0.09,23.19
-0.12,-0.04,0.09,23.18
-0.07,-0.18,0.12,23.04
-0.02,-0.14,-0.01,23.15
-0.1,-0.09,0.02,23.15
-0.11,-0.06,0.17,23.2
0.01,-0.25,0.1,23.19
-0.04,-0.13,0.22,23.16
-0.03,-0.06,0.22,23.12
-0.09,-0.13,0.08,22.95
-0.05,-0.05,0.01,23.09
-0.08,-0.02,0.01,23.12
-0.06,-0.13,0.31,22.99
-0.17,-0.11,0.18,23.06
-0.04,-0.12,0.09,23.11
0,-0.11,0.04,23.25
0.05,-0.02,0.07,23.4
0.05,-0.07,0.04,23.39
-0.03,-0.02,0.09,23.27
-0.13,0.01,0.06,23.14
-0.16,0.01,0.11,23.13
-0.14,-0.04,0.06,23.07
-0.14,-0.1,0.19,23
-0.05,-0.21,0.15,23.06
-0.16,-0.11,0.15,22.99
-0.13,-0.04,0.05,23.06
-0.14,-0.12,0,23.05
-0.14,-0.07,0.21,23.14
-0.19,-0.12,0.12,23.04
-0.04,-0.15,0.05,23.16
0.01,-0.12,0.04,23.37
-0.14,-0.24,0.35,23.01
-0.12,-0.17,0.28,23.03
-0.16,-0.12,0.17,22.93
-0.13,-0.13,0.12,22.85
-0.13,-0.21,0.1,22.96
-0.12,-0.24,0.11,22.93
-0.1,-0.27,0.16,22.96
-0.02,-0.03,0.06,23.35
-0.02,-0.05,0.03,23.37
-0.01,-0.06,0,23.22
0.02,-0.04,0,23.29
0.01,-0.07,0,23.24
-0.01,-0.07,0,23.3
-0.02,-0.05,0.04,23.35
-0.01,-0.03,0.07,23.43
-0.03,-0.03,0.05,23.23
-0.07,0.03,0,23.1
0.02,-0.11,0.12,23.18
-0.12,-0.12,0.19,23.2
-0.1,-0.07,-0.02,23.13
-0.09,-0.03,0.03,23.17
-0.01,-0.06,0.07,23.17
0.01,-0.11,0.03,23.25
-0.05,-0.12,0.02,23.28
-0.12,-0.14,0.13,23.43
-0.15,-0.09,0.11,23.35
-0.13,-0.16,0.18,23.09
-0.18,-0.22,0.23,23.18
-0.16,-0.14,0.12,23.11
-0.15,-0.05,0.06,23.16
-0.11,-0.01,0.11,23.24
-0.01,-0.1,0.06,23.29
0.04,-0.14,0.04,23.39
0.04,-0.13,0.19,23.33
-0.06,-0.01,0.13,23.37
0.01,-0.02,0.1,23.46
-0.03,-0.08,0.1,23.37
-0.05,0,0.07,23.38
-0.12,-0.1,0.11,23.2
-0.13,-0.07,0.17,23.37
-0.21,-0.05,0.23,23.27
-0.17,0.02,-0.03,23.24
-0.06,-0.18,0.05,23.33
-0.01,-0.18,0.04,23.36
-0.01,-0.15,0.06,23.39
-0.04,-0.04,0.11,23.23
-0.13,-0.05,0.08,23.15
-0.11,-0.08,0.19,23.22
-0.14,-0.03,0.29,23.28
-0.03,-0.03,0.1,23.28
-0.08,-0.03,-0.02,23.31
-0.12,-0.02,0,23.21
-0.17,0.08,0.05,23.12
-0.23,-0.07,0.12,22.78
-0.09,-0.13,0.05,22.92
-0.1,-0.2,0,23.07
-0.16,-0.09,0.16,23.04
-0.06,-0.14,0.13,23.02
0,-0.05,0.08,23.16
0.01,0.01,0.05,23.19
0,-0.02,0.07,23.23
0.01,-0.05,0,23.22
0.01,-0.06,-0.03,23.26
-0.03,-0.11,-0.05,23.2
-0.07,-0.1,-0.03,23.04
-0.05,-0.01,0.09,23.12
-0.08,-0.11,0.19,23.22
-0.05,-0.11,0.22,23.19
0.02,-0.08,0.09,23.27
0.02,-0.09,0.02,23.36
0.01,-0.12,0.04,23.42
0,-0.09,0.04,23.42
0,-0.16,0.05,23.33
-0.06,-0.05,0.11,22.98
-0.07,0,0,22.97
-0.01,-0.02,0.02,23.11
-0.02,0.04,0.09,23.22
-0.03,-0.05,0.04,23.23
-0.06,-0.01,0.01,23.2
-0.07,-0.03,0.02,23.07
-0.1,-0.13,0.21,23.01
0,-0.12,0.22,23.1
-0.19,-0.12,0.21,23.07
-0.15,-0.22,0.2,22.95
-0.13,-0.16,0.26,22.89
-0.08,-0.08,0.23,23.11
-0.01,-0.15,0.13,23.19
0.02,-0.08,0.15,23.12
0.02,-0.04,0.07,23.34
-0.01,-0.03,0.03,23.16
0.06,-0.11,0.04,23.26
-0.01,-0.12,-0.02,23.16
-0.05,-0.01,-0.01,23.12
-0.06,-0.11,0.21,23.21
-0.02,-0.05,0.16,23.17
-0.03,-0.09,0.18,23.03
-0.06,-0.04,0.05,22.98
-0.15,-0.01,0.2,23.18
-0.18,-0.03,0.15,23.15
-0.18,0,0.04,23.12
-0.1,-0.01,-0.02,23.05
-0.26,-0.01,0.08,23.02
-0.22,-0.01,0.15,23.04
-0.23,-0.03,-0.01,23.07
-0.2,-0.12,-0.07,23.12
-0.14,-0.15,-0.09,23.1
-0.13,-0.07,-0.03,23.2
-0.04,-0.09,0.07,23.26
0.01,-0.14,0.08,23.34
-0.08,-0.03,0.16,23.25
-0.05,-0.05,-0.02,23.29
-0.03,-0.05,-0.01,23.33
-0.12,-0.12,0.07,23.01
-0.05,-0.12,0.15,23.03
-0.11,-0.04,0.2,23.01
-0.13,-0.09,0.1,22.81
0.03,-0.13,0.04,23.15
-0.14,-0.19,0.29,22.81
-0.17,-0.19,0.21,22.77
-0.14,-0.18,0.29,22.91
-0.07,-0.17,0.22,23.04
-0.12,-0.12,0.18,22.98
0,-0.09,0.11,23.21
-0.01,-0.09,0.05,23.34
0.04,-0.12,-0.01,23.28
-0.04,-0.07,-0.06,23.15
-0.07,-0.09,-0.07,23.05
-0.09,0,0.04,23.11
-0.05,0,0.12,23.06
-0.14,-0.14,0.16,22.95
-0.16,-0.21,0.23,23.01
-0.05,-0.15,0.16,23.09
-0.01,-0.12,0.13,23.21
0,-0.06,0.07,23.17
-0.05,-0.07,0.04,23.29
-0.07,-0.11,0.03,23.16
-0.08,-0.11,0.05,23.24
-0.02,-0.13,0.04,23.27
-0.01,-0.08,0.05,23.23
-0.08,-0.21,0.12,22.9
-0.13,-0.18,0.13,22.76
-0.15,-0.12,0.06,22.91
-0.08,-0.08,0.01,22.96
-0.14,-0.08,0.11,23.07
-0.07,-0.03,0.1,23.11
-0.06,-0.01,0.06,23.24
-0.06,-0.18,0.16,23.09
-0.09,-0.14,0.04,23.08
-0.04,-0.11,0.01,23.07
0,-0.06,-0.03,23.12
0,-0.08,0.04,23.14
-0.06,-0.02,0.07,23.2
-0.06,0.04,0.01,23.28
0,0.03,0.07,23.26
0.08,-0.14,0.17,23.22
-0.01,-0.13,0.13,22.93
0,-0.1,0.23,23.05
-0.06,-0.12,0.2,22.95
-0.13,-0.06,0.22,22.98
-0.04,-0.08,0.17,22.92
-0.11,-0.22,0.22,22.97
0,-0.09,0.15,23.18
-0.11,-0.11,-0.01,22.92
-0.08,-0.05,0.1,22.98
-0.13,0.01,0.11,22.97
-0.1,-0.06,0.2,23.05
-0.14,-0.1,0.05,23.03
-0.12,-0.03,0.01,23.06
-0.08,-0.11,0.08,23.12
-0.02,-0.11,0.03,23.21
-0.01,-0.09,0.08,23.21
-0.03,-0.13,0.08,23.12
-0.09,-0.03,0.19,23.24
-0.19,-0.13,0.16,23.12
-0.08,-0.21,0.22,23.14
-0.06,-0.18,0.18,23.18
0.03,-0.05,0.25,23.25
-0.04,0.01,0.21,23.25
-0.14,-0.07,0.24,23.03
-0.14,-0.08,0.1,23.01
-0.13,-0.06,0.12,23.13
-0.05,-0.14,0.24,23.2
-0.09,-0.11,0.16,23.12
-0.18,-0.08,0.17,23.03
-0.1,-0.12,0.11,23.12
-0.07,-0.02,0,23.13
-0.03,-0.04,-0.04,23.15
0.08,-0.05,0.09,23.15
0.06,-0.04,0.15,23.14
-0.02,0.09,0.13,23.13
0.06,-0.04,0.14,23.11
-0.49,-0.14,0.23,23.6
-0.1,-0.34,0.43,23.44
0.64,-0.42,-0.25,23.39
1.29,-0.25,-0.66,23.31
0.63,0.11,-0.66,23.19
0.54,0.36,-0.49,23.33
0.03,-0.2,-0.46,23.36
-0.07,-0.01,-0.24,23.38
0.04,0.01,0.11,23.41
-0.06,-0.21,0.23,23.62
0.07,-0.22,0.05,24.04
-0.05,-0.06,0,23.98
-0.08,-0.18,-0.03,24.29
-0.02,-0.07,-0.05,24.19
0.14,0.04,0.08,23.97
-0.17,0.04,-0.04,23.76
-0.09,-0.1,-0.04,23.93
0.02,0.03,-0.08,24.22
-0.05,-0.05,-0.05,24.22
-0.06,-0.06,-0.01,24.49
-0.09,-0.05,-0.07,24.43
-0.01,-0.06,-0.14,24.15
-0.03,0.02,-0.17,23.81
0.01,0.05,-0.14,23.94
0.09,0,-0.05,23.78
0.05,0,-0.04,23.85
0.15,0.18,-0.04,23.84
0.02,0.07,-0.03,23.92
0.13,0.05,0.02,23.61
0.02,0.22,-0.26,23.48
0.21,0.14,-0.13,23.4
0.15,0.28,-0.48,23.4
0.1,0.18,-0.17,23.35
-0.06,-0.01,0.02,23.4
-0.09,0.07,-0.02,23.41
-0.07,-0.01,0.03,23.42
-0.01,-0.05,0.01,23.44
0.12,0.05,0,23.36
0.09,0.15,0.06,23.4
0.11,-0.09,0,23.4
0.16,0.06,0.02,23.4
0.13,0.16,0.06,23.44
0.26,0.01,0.07,23.4
0.27,-0.09,-0.08,23.44
0.29,-0.08,0.01,23.41
0.2,-0.08,0.11,23.43
0.27,-0.04,0.12,23.46
0.16,-0.11,-0.04,23.58
0.04,-0.17,-0.08,23.71
-0.07,-0.14,-0.1,23.64
-0.05,-0.05,-0.03,23.54
0.11,0.19,0.15,23.48
0.12,0.18,0.13,23.5
0.12,0.06,0.06,23.5
0.08,0.09,0.1,23.54
0.06,0.07,0.06,23.53
0.03,0.09,0.18,23.52
0.02,0.11,0.14,23.55
0.03,0.14,0.08,23.56
0.08,0.03,-0.03,23.54
-0.01,0.04,-0.02,23.55
0.02,0.12,-0.1,23.64
0.05,0.06,0.2,23.58
0.04,0.11,0.14,23.58
0.09,0.12,0.1,23.71
0.04,0.07,0.07,23.61
0.07,0.18,-0.01,23.52
-0.01,0.42,0.12,23.47
0.02,0.37,0.21,23.47
0.06,0.34,0.16,23.48
0.07,0.26,0.12,23.49
0.09,0.4,0.19,23.44
0.07,0.4,0.16,23.46
0.01,0.41,0.17,23.48
0.03,0.25,0.11,23.49
0.04,0.18,0.14,23.52
0.07,0.21,0.11,23.56
0.04,0.23,0.16,23.58
0.04,0.19,0,23.62
0.09,0.08,-0.04,23.66
0.11,0.06,-0.03,23.64
0.11,-0.01,0.05,23.61
0.06,0.17,0.13,23.51
0.11,0.08,0.14,23.58
0.04,0.14,0.09,23.46
0.08,0.17,0.12,23.41
0.06,0.08,0.1,23.46
0.04,0.04,0.11,23.54
0.07,0.07,0.12,23.58
0.03,0.08,0.05,23.55
-0.01,0.09,0.02,23.51
0,0.1,0.03,23.54
0.02,0.05,0.02,23.58
0.05,0.12,0.05,23.67
-0.04,0.12,0.09,23.53
0.06,0.25,0.15,23.54
0.05,0.16,0.16,23.56
0.08,0.13,0.15,23.56
0.11,0.23,0.16,23.5
0.08,0.26,0.14,23.53
-0.05,0.09,0.09,23.59
-0.12,0.04,0.02,24.09
-0.02,0.05,0.1,23.75
0.02,0.28,0.13,23.64
0.03,0.24,0.1,23.62
0.03,0.33,0.14,23.57
0.11,0.27,0.11,23.53
0.11,0.36,0.15,23.58
0.2,0.29,0.08,23.59
0.17,0.35,0,23.69
-0.04,0.25,-0.04,23.76
-0.02,0.19,0.02,23.73
-0.03,0.2,0.01,23.73
-0.11,0.22,0.05,23.71
0.06,0.19,0.04,23.62
0.15,0.11,0.03,23.63
0.11,0.12,-0.02,23.59
0.05,0.08,0.04,23.58
0.04,0.19,0.01,23.48
0.11,0.11,0,23.57
0.07,0.11,0.06,23.54
0.03,0.16,0.03,23.59
0.09,0.2,0.06,23.61
0.09,0.1,-0.02,23.6
0.07,0.09,0.04,23.6
0.04,0.25,0.16,23.62
0.1,0.3,0.16,23.57
0.1,0.22,-0.03,23.91
0.13,0.01,-0.12,24.31
0.04,0,0.06,23.92
-0.11,0.19,0.05,23.7
-0.05,0.15,-0.02,23.69
0.1,0.07,0.03,23.63
0.04,0.24,0.11,23.59
0,0.25,0.05,23.7
0.12,0.2,0.02,23.69
0.11,0.28,0.19,23.63
0.09,0.21,0.12,23.63
0.06,0.29,0.07,23.62
0.12,0.11,-0.03,23.65
0.08,0.09,-0.06,23.64
0,0.04,0,23.63
0.08,0.17,0.09,23.64
0.05,0.18,0.1,23.68
0.04,0.18,0.09,23.62
0.11,0.08,0.02,23.6
0.09,0.08,0,23.59
0.1,0.23,0.1,23.53
0.13,0.24,0,23.56
0.08,0.04,-0.03,23.66
0.1,0.02,0.03,23.67
0.08,0.05,0.04,23.67
0.1,0.03,0.09,23.67
-0.01,0.08,0.05,23.65
0.03,0.12,0.04,23.61
0.02,0.18,0.13,23.61
0,0.05,0,23.64
-0.04,-0.13,-0.05,23.67
-0.12,0.05,-0.07,23.7
-0.13,0.01,-0.03,23.82
-0.15,0.01,0.09,23.7
-0.13,0,0.11,23.77
0.01,-0.02,0.11,23.88
-0.01,0,0.18,23.7
-0.04,0.03,0,23.7
-0.11,-0.02,0.02,23.94
-0.03,0.05,0.1,23.76
0.01,0.28,0.08,23.61
-0.02,0.32,0.13,23.68
-0.05,0.08,0.02,23.85
-0.04,0.24,0.14,23.64
-0.08,0.22,0.11,23.67
-0.13,0.18,0.01,23.8
-0.17,-0.01,0.02,23.84
-0.01,0.04,0.01,23.79
-0.02,0.06,-0.03,23.64
0.07,0.14,-0.03,23.8
0.12,0.1,-0.03,23.68
0.13,0.05,-0.06,23.84
0.05,0.02,0.09,24.03
0.07,0.06,0.01,23.92
0.05,0.07,0.01,23.84
-0.03,-0.02,0.09,23.69
0.05,0.08,0.07,23.7
0.05,-0.09,0,23.86
0.05,-0.03,-0.05,23.82
0,-0.03,0.01,23.78
0.02,-0.08,0.01,23.91
0.05,-0.04,-0.05,23.78
0.03,-0.12,-0.03,23.8
0.08,-0.08,0.02,23.91
-0.01,0.12,0.06,23.74
0.04,0.3,0.03,23.64
0.01,0.13,-0.11,23.77
-0.05,0.05,-0.06,23.73
-0.08,0.13,-0.02,23.67
0.06,0.18,-0.03,23.59
0.1,0.11,0.07,23.61
0.11,0.06,0.05,23.65
0.01,0.19,0.08,23.62
0.08,0.15,0.02,23.65
0.12,0.12,0.1,23.61
0.07,0.3,0.17,23.59
0.02,0.42,0.18,23.58
0.04,0.36,0.18,23.55
0.1,0.28,0.11,23.58
-0.16,0.13,0.06,23.65
0.03,0.3,0.18,23.58
-0.07,0.17,0.1,23.63
0.03,0.15,0.14,23.59
-0.01,0.19,0.08,23.58
-0.08,0.15,0.04,23.62
-0.02,0.32,0.06,23.62
-0.09,0.15,-0.1,23.72
0.03,0.2,0.03,23.57
-0.06,0.22,0.11,23.59
0.09,0.3,0.2,23.56
0.05,0.28,0.13,23.58
0.03,0.15,0.1,23.6
0.03,0.08,0.13,23.64
0.1,0.03,0.06,23.63
0.09,0.05,0,23.65
0.08,0,0.01,23.83
0.04,0.05,0.06,23.63
0.05,0.23,0.08,23.56
0.03,0.14,0.13,23.63
0.09,0.04,0,23.67
0.01,-0.03,-0.08,23.72
0.03,-0.08,-0.12,23.79
0.04,-0.03,-0.02,23.68
-0.01,0.15,0.11,23.64
0.05,-0.02,-0.11,23.88
0.07,-0.01,-0.07,23.71
-0.04,0.19,0.04,23.57
0.1,0.12,0.07,23.64
-0.04,0.21,0.05,23.68
0.1,0.01,-0.08,23.7
0.06,0.02,-0.07,23.88
0.08,-0.05,-0.07,23.72
0.02,-0.05,-0.06,23.7
-0.1,-0.01,0.01,23.93
-0.03,-0.04,-0.07,23.7
0,0,0,23.59
0.02,0.04,0.09,23.6
0.05,0.04,0.02,23.56
0.11,0.03,0.02,23.69
0.14,-0.04,0.03,23.7
0.01,0.24,0.1,23.61
0.07,0.15,0.09,23.63
0.06,0,0.09,23.68
0.12,-0.01,0.04,23.75
0.03,-0.1,-0.01,23.78
0.03,-0.01,0,23.77
-0.05,0.07,0,23.65
0.02,-0.04,-0.03,23.6
0.07,0.03,0.05,23.7
